ORSPL,PLANT_NAME,rggi,Low_Income,PRIME_MOVER,Year,fuel
681,W E Swoope,0,0,IC,1995,Oil
683,Indian River Plant,0,0,GT,1995,Natural Gas
55318,Indian River,0,0,ST,1995,
685,St Cloud,0,1,IC,1995,Natural Gas
688,Arvah B Hopkins,0,0,CC,1995,
688,Arvah B Hopkins,0,0,GT,1995,Natural Gas
688,Arvah B Hopkins,0,0,GT,1995,Natural Gas
688,Arvah B Hopkins,0,0,ST,1995,Natural Gas
693,Vero Beach Municipal Power Plant,0,0,CC,1995,Natural Gas
693,Vero Beach Municipal Power Plant,0,0,CC,1995,Natural Gas
693,Vero Beach Municipal Power Plant,0,0,ST,1995,Natural Gas
693,Vero Beach Municipal Power Plant,0,0,ST,1995,Natural Gas
696,Marathon Generating Plant,0,1,IC,1995,Oil
698,Trenton North,0,0,IC,1995,Oil
699,Arkwright,0,1,GT,1995,Natural Gas
699,Arkwright,0,1,ST,1995,Coal
708,Hammond,0,0,ST,1995,Coal
10426,Inland Paperboard Packaging Rome,0,0,ST,1995,
10426,Inland Paperboard Packaging Rome,0,0,ST,1995,
727,Mitchell (GA),0,1,GT,1995,Oil
727,Mitchell (GA),0,1,ST,1995,Coal
732,Boulevard,0,1,GT,1995,Natural Gas
747,Dinner Lake,0,1,ST,1995,
748,Phillips,0,0,CC,1995,
748,Phillips,0,0,IC,1995,Oil
753,Crisp Plant,0,1,GT,1995,Natural Gas
753,Crisp Plant,0,1,ST,1995,Natural Gas
54856,Riverside Manufacturing,0,1,GT,1995,
762,Ponca,0,1,ST,1995,Natural Gas
762,Ponca,0,1,ST,1995,Natural Gas
7546,Ponca City,0,1,CC,1995,
7546,Ponca City,0,1,CC,1995,
7546,Ponca City,0,1,GT,1995,
764,Honolulu,0,1,ST,1995,Oil
56331,Iwilei Tank Farm DG,0,1,IC,1995,
765,Kahe,0,0,ST,1995,Oil
766,Waiau,0,1,GT,1995,Oil
766,Waiau,0,1,ST,1995,Oil
769,Kanoelehua,0,1,GT,1995,Oil
769,Kanoelehua,0,1,IC,1995,Oil
772,W H Hill,0,1,ST,1995,Oil
6478,Shipman,0,1,ST,1995,Oil
792,Palaau Power,0,1,GT,1995,Oil
792,Palaau Power,0,1,IC,1995,Oil
817,Salmon Diesel,0,1,IC,1995,Oil
856,E D Edwards,0,0,ST,1995,Coal
860,Sterling Avenue,0,0,GT,1995,Natural Gas
861,Coffeen,0,0,ST,1995,Coal
862,Grand Tower Energy Center LLC,0,0,CC,1995,
862,Grand Tower Energy Center LLC,0,0,ST,1995,Coal
863,Hutsonville,0,0,IC,1995,Oil
863,Hutsonville,0,0,ST,1995,Coal
864,Meredosia,0,1,ST,1995,Coal
865,Bloom,0,1,GT,1995,Oil
866,Calumet,0,1,GT,1995,Natural Gas
55281,Southeast Chicago Energy Project,0,1,GT,1995,
867,Crawford,0,1,GT,1995,Natural Gas
867,Crawford,0,1,ST,1995,Coal
870,Electric Junction,0,0,GT,1995,Natural Gas
874,Joliet 9,0,1,GT,1995,Natural Gas
874,Joliet 9,0,1,ST,1995,Coal
876,Kincaid Generation LLC,0,0,ST,1995,Coal
54312,Archer Daniels Midland Taylorville,0,0,GT,1995,
56529,Five Oaks Gas Recovery,0,0,IC,1995,
877,Lombard,0,0,GT,1995,Natural Gas
879,Powerton,0,0,ST,1995,Coal
882,Sabrooke,0,0,GT,1995,Oil
883,Waukegan,0,0,GT,1995,Oil
883,Waukegan,0,0,ST,1995,Coal
884,Will County,0,0,ST,1995,Coal
886,Fisk Street,0,1,GT,1995,Oil
886,Fisk Street,0,1,GT,1995,Oil
886,Fisk Street,0,1,ST,1995,Coal
887,Joppa Steam,0,0,ST,1995,Coal
7858,MEPI GT Facility,0,0,GT,1995,
889,Baldwin Energy Complex,0,1,ST,1995,Coal
891,Havana,0,1,ST,1995,Coal
892,Hennepin Power Station,0,0,ST,1995,Coal
894,Oglesby,0,1,GT,1995,Natural Gas
895,Stallings,0,1,GT,1995,Natural Gas
50566,Milam Gas Recovery,0,1,IC,1995,
897,Vermilion,0,0,GT,1995,
897,Vermilion,0,0,ST,1995,Coal
898,Wood River,0,1,ST,1995,Coal
899,Moline,0,1,GT,1995,Natural Gas
913,Venice,0,1,GT,1995,Oil
913,Venice,0,1,ST,1995,Natural Gas
934,Breese,0,0,IC,1995,Oil
934,Breese,0,0,ST,1995,
935,Bushnell,0,1,IC,1995,Oil
937,Carmi,0,1,IC,1995,Natural Gas
940,Fairfield,0,1,IC,1995,
941,Farmer City,0,0,IC,1995,Natural Gas
