ORSPL,PLANT_NAME,PRIME_MOVER,UNIT_SIZE,FUEL_TYPE,rggi,Low_Income,FIRST_YEAR_OF_OPERATION,MAJ_FUEL_1995,MAJ_FUEL_1996,MAJ_FUEL_1997,MAJ_FUEL_1998,MAJ_FUEL_1999,MAJ_FUEL_2000,MAJ_FUEL_2001,MAJ_FUEL_2002,MAJ_FUEL_2003,MAJ_FUEL_2004,MAJ_FUEL_2005,MAJ_FUEL_2006,MAJ_FUEL_2007,MAJ_FUEL_2008,MAJ_FUEL_2009,MAJ_FUEL_2010,MAJ_FUEL_2011,MAJ_FUEL_2012,MAJ_FUEL_2013,MAJ_FUEL_2014,MAJ_FUEL_2015,MAJ_FUEL_2016
55963,Riverview Energy Center,GT,>=25,Natural Gas,0,1,2003,,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
56476,Gateway Generating Station,CC,>=25,Natural Gas,0,1,2009,,,,,,,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
57267,Marsh Landing Generating Station,GT,>=25,Natural Gas,0,1,2013,,,,,,,,,,,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas
247,Hunters Point,GT,>=25,Oil,0,1,1948,Oil,Oil,Oil,Oil,Oil,Oil,,,Oil,Oil,Oil,Oil,,,,,,,,,,
247,Hunters Point,ST,>=25,Natural Gas,0,1,1948,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,,,,,,,
259,Dynegy Morro Bay LLC,ST,>=25,Natural Gas,0,0,1955,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,
260,Dynegy Moss Landing Power Plant,CC,>=25,Natural Gas,0,0,1967,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
260,Dynegy Moss Landing Power Plant,ST,>=25,Natural Gas,0,0,1967,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
271,Pittsburg Power,ST,>=25,Natural Gas,0,1,1954,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
55217,Los Medanos Energy Center,CC,>=25,Natural Gas,0,1,2001,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
298,Limestone,ST,>=25,Coal,0,1,1985,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
300,Division,GT,<25,Oil,0,0,1968,Oil,Oil,Oil,Oil,Oil,,,,Oil,,,,,,,,,,,,,
306,Naval Station,GT,>=25,Natural Gas,0,0,1976,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,,,,,,,,,,,,,,
